scheduler,path_1_bw,path_2_bw,latency,avg_transfer_time
peekaboo,0.5,5.0,100,59.5859685
peekaboo,1.0,1.0,50,76.4233366
peekaboo,10.0,10.0,0,5.9343281
peekaboo,0.5,5.0,50,58.88116290000001
peekaboo,0.5,0.5,0,109.62781049999998
peekaboo,5.0,5.0,0,14.1647469
peekaboo,0.5,1.0,50,136.4414251
peekaboo,2.0,2.0,50,31.6371784
peekaboo,0.5,10.0,100,37.470032100000005
peekaboo,0.5,0.5,50,148.91204299999998
peekaboo,0.5,10.0,0,74.33505349999999
peekaboo,10.0,10.0,100,6.820654900000001
peekaboo,0.5,0.5,100,155.66370309999996
peekaboo,1.0,1.0,100,83.0872862
peekaboo,0.5,2.0,100,99.0478823
peekaboo,0.5,10.0,50,36.1468651
peekaboo,1.0,1.0,0,100.0896752
peekaboo,2.0,2.0,100,31.4882274
peekaboo,0.5,1.0,100,143.77202960000002
peekaboo,5.0,5.0,100,12.6911729
peekaboo,10.0,10.0,50,5.8603276
peekaboo,0.5,5.0,0,80.93588530000001
peekaboo,5.0,5.0,50,11.3238967
peekaboo,0.5,1.0,0,84.77201150000002
peekaboo,2.0,2.0,0,45.1275841
peekaboo,0.5,2.0,0,81.3328262
peekaboo,0.5,2.0,50,76.6697814
round_robin,0.5,5.0,100,23.764766599999998
round_robin,1.0,1.0,50,55.066603699999995
round_robin,10.0,10.0,0,5.506463800000001
round_robin,0.5,5.0,50,24.0049423
round_robin,0.5,0.5,0,110.20535310000002
round_robin,5.0,5.0,0,11.0151724
round_robin,0.5,1.0,50,73.94903450000001
round_robin,2.0,2.0,50,27.6080711
round_robin,0.5,10.0,100,15.905385200000001
round_robin,0.5,0.5,50,110.0841537
round_robin,0.5,10.0,0,35.094503100000004
round_robin,10.0,10.0,100,6.4888873
round_robin,0.5,0.5,100,110.20671150000001
round_robin,1.0,1.0,100,55.293318
round_robin,0.5,2.0,100,45.964662100000005
round_robin,0.5,10.0,50,15.7622444
round_robin,1.0,1.0,0,55.0069629
round_robin,2.0,2.0,100,27.929932700000002
round_robin,0.5,1.0,100,73.80607230000001
round_robin,5.0,5.0,100,11.721005100000001
round_robin,10.0,10.0,50,5.871532100000001
round_robin,0.5,5.0,0,36.012042300000005
round_robin,5.0,5.0,50,11.252487299999999
round_robin,0.5,1.0,0,73.64124749999999
round_robin,2.0,2.0,0,27.5147828
round_robin,0.5,2.0,0,47.9418967
round_robin,0.5,2.0,50,45.8488713
ecf,0.5,5.0,100,23.283727
ecf,1.0,1.0,50,55.15833309999999
ecf,10.0,10.0,0,5.5621475
ecf,0.5,5.0,50,22.721786700000003
ecf,0.5,0.5,0,110.72582919999999
ecf,5.0,5.0,0,11.132841
ecf,0.5,1.0,50,73.91005859999999
ecf,2.0,2.0,50,27.6162845
ecf,0.5,10.0,100,16.311493199999997
ecf,0.5,0.5,50,110.2924655
ecf,0.5,10.0,0,27.138165199999996
ecf,10.0,10.0,100,7.380206599999999
ecf,0.5,0.5,100,110.39942040000001
ecf,1.0,1.0,100,55.28605230000001
ecf,0.5,2.0,100,45.345425399999996
ecf,0.5,10.0,50,13.951135500000001
ecf,1.0,1.0,0,55.5531505
ecf,2.0,2.0,100,27.972314599999997
ecf,0.5,1.0,100,73.9117736
ecf,5.0,5.0,100,11.910458699999998
ecf,10.0,10.0,50,5.900322700000001
ecf,0.5,5.0,0,41.732009
ecf,5.0,5.0,50,11.4556069
ecf,0.5,1.0,0,73.6212083
ecf,2.0,2.0,0,27.746815199999997
ecf,0.5,2.0,0,63.28451249999999
ecf,0.5,2.0,50,45.235056099999994
low_latency,0.5,5.0,100,22.610239200000002
low_latency,1.0,1.0,50,55.136675100000005
low_latency,10.0,10.0,0,5.588419699999999
low_latency,0.5,5.0,50,22.9019872
low_latency,0.5,0.5,0,110.76192189999999
low_latency,5.0,5.0,0,11.178367300000001
low_latency,0.5,1.0,50,73.90585370000001
low_latency,2.0,2.0,50,27.6129936
low_latency,0.5,10.0,100,14.007120999999998
low_latency,0.5,0.5,50,110.31535470000001
low_latency,0.5,10.0,0,33.303030899999996
low_latency,10.0,10.0,100,7.4399321
low_latency,0.5,0.5,100,110.394573
low_latency,1.0,1.0,100,55.26255370000001
low_latency,0.5,2.0,100,45.4053171
low_latency,0.5,10.0,50,13.6796629
