path_1_bw,path_1_delay,path_1_loss,path_2_bw,path_2_delay,path_2_loss
3.2,81ms,0.0,3.8,77ms,0.2
4.4,79ms,0.7,3.2,51ms,0.3
3.3,66ms,0.9,5.0,81ms,0.5
3.4,69ms,0.8,4.7,81ms,0.5
3.7,66ms,0.6,3.5,74ms,0.6
4.3,65ms,0.7,5.0,82ms,0.1
4.8,83ms,0.2,4.1,69ms,0.4
4.2,69ms,0.3,4.2,69ms,0.0
3.2,62ms,0.6,4.2,81ms,0.9
3.3,62ms,0.8,3.7,58ms,0.4
4.5,52ms,0.4,4.1,83ms,0.0
3.4,57ms,0.3,4.6,81ms,0.2
3.8,54ms,0.9,4.3,64ms,0.6
4.5,68ms,0.9,3.4,54ms,0.3
4.5,71ms,0.8,4.8,77ms,1.0
3.8,70ms,0.9,3.9,63ms,1.0
4.9,80ms,0.2,4.8,55ms,1.0
4.6,50ms,0.4,4.7,81ms,0.4
3.9,75ms,0.5,4.4,70ms,0.4
3.7,62ms,0.5,3.1,60ms,0.6
4.2,57ms,0.8,3.5,79ms,0.1
5.0,80ms,0.3,4.9,76ms,0.4
3.8,85ms,0.4,3.2,65ms,0.0
4.9,77ms,0.3,3.6,65ms,0.0
4.6,55ms,0.2,4.9,68ms,0.4
3.8,71ms,0.5,3.5,83ms,0.4
4.7,75ms,0.9,3.6,66ms,0.4
4.6,66ms,0.2,4.0,68ms,0.7
3.4,55ms,0.4,4.6,62ms,0.5
3.9,73ms,0.5,4.0,85ms,1.0
3.5,82ms,0.0,5.0,78ms,0.3
4.2,70ms,0.9,3.2,80ms,0.5
4.8,69ms,0.8,5.0,57ms,0.1
4.4,60ms,0.0,3.5,68ms,0.1
4.6,72ms,0.1,4.4,72ms,0.7
4.7,71ms,0.9,3.6,64ms,0.1
3.7,75ms,0.5,3.3,74ms,0.1
4.5,83ms,0.7,4.5,63ms,0.4
3.2,83ms,0.2,3.1,84ms,1.0
4.8,78ms,0.5,4.8,80ms,0.9
3.3,67ms,0.6,4.6,54ms,0.4
3.3,64ms,0.9,3.7,64ms,0.1
4.8,81ms,0.1,4.4,67ms,0.4
4.2,84ms,0.6,4.8,82ms,0.3
4.9,58ms,0.1,4.9,71ms,1.0
4.5,50ms,0.9,4.5,74ms,0.0
4.7,67ms,0.1,4.3,55ms,0.4
3.6,52ms,0.7,4.9,82ms,0.5
4.2,80ms,0.6,4.6,75ms,0.1
4.3,55ms,0.8,3.1,84ms,1.0
4.4,50ms,0.7,4.5,59ms,0.4
5.0,67ms,0.0,4.3,77ms,0.4
3.3,78ms,0.9,3.5,70ms,0.1
3.8,50ms,0.1,4.4,74ms,0.6
4.6,71ms,0.8,4.2,80ms,0.9
4.9,76ms,0.8,4.0,58ms,0.1
4.4,78ms,0.3,3.6,85ms,1.0
3.6,65ms,0.6,3.4,76ms,0.6
3.9,61ms,0.9,3.3,58ms,0.0
4.5,59ms,0.1,3.8,58ms,0.5
3.5,61ms,0.5,4.6,61ms,0.2
3.8,54ms,1.0,4.7,56ms,0.9
5.0,66ms,0.3,4.3,84ms,0.5
3.6,67ms,0.6,4.7,85ms,0.6
3.8,75ms,0.7,4.5,84ms,0.3
3.2,60ms,0.7,3.6,68ms,1.0
3.4,80ms,1.0,4.8,63ms,0.2
4.5,60ms,0.2,3.9,56ms,0.9
5.0,70ms,0.2,3.7,51ms,0.6
3.7,78ms,0.6,4.8,81ms,0.3
3.5,62ms,0.4,4.6,75ms,0.0
4.3,54ms,0.9,4.2,67ms,0.6
3.1,84ms,0.5,3.5,65ms,0.9
4.6,50ms,0.0,4.7,55ms,0.7
4.1,77ms,0.0,4.3,85ms,0.3
3.4,62ms,0.1,3.3,61ms,0.6
3.8,81ms,0.0,4.9,83ms,0.7
4.9,56ms,0.9,4.1,73ms,0.9
4.6,79ms,0.4,4.3,53ms,0.8
4.4,64ms,0.9,3.4,71ms,0.0
4.2,54ms,0.9,4.4,58ms,0.9
3.3,62ms,0.2,4.6,72ms,0.0
3.1,78ms,0.4,3.6,82ms,0.5
3.3,57ms,0.0,4.7,64ms,0.8
4.7,54ms,1.0,4.8,53ms,0.1
3.4,55ms,1.0,4.8,74ms,1.0
3.1,72ms,0.2,3.9,51ms,0.6
3.8,69ms,0.1,3.4,51ms,0.8
3.6,53ms,0.7,4.6,85ms,0.3
3.2,66ms,0.6,4.6,56ms,0.8
4.8,61ms,0.9,3.3,81ms,0.6
3.8,64ms,0.9,3.8,78ms,1.0
4.9,80ms,0.6,3.5,52ms,0.1
3.3,60ms,1.0,4.4,84ms,0.3
4.3,53ms,0.9,5.0,85ms,0.9
5.0,71ms,0.9,4.2,72ms,0.6
4.9,66ms,0.6,4.0,64ms,0.8
3.2,57ms,0.8,3.7,81ms,1.0
3.5,59ms,0.4,3.9,72ms,0.6
3.9,57ms,0.0,4.8,59ms,0.0
4.0,70ms,0.9,3.5,55ms,0.0
4.7,61ms,0.1,4.4,53ms,0.8
4.8,77ms,0.1,4.4,59ms,0.4
3.2,50ms,0.7,3.1,56ms,0.3
4.4,74ms,0.2,4.8,55ms,0.8
4.6,70ms,0.0,4.1,63ms,0.8
3.1,69ms,0.4,4.2,61ms,1.0
4.3,74ms,0.3,3.8,62ms,0.3
4.4,72ms,0.3,4.7,73ms,0.9
5.0,73ms,0.8,4.7,59ms,0.8
3.3,67ms,0.0,3.5,63ms,0.3
4.9,80ms,0.2,4.5,61ms,0.3
3.5,76ms,1.0,4.5,78ms,0.4
3.9,77ms,0.9,5.0,58ms,0.4
3.7,66ms,0.6,3.7,67ms,0.4
3.1,75ms,0.8,4.3,64ms,0.5
4.4,77ms,0.2,3.3,66ms,0.9
