path_1_bw,delay_1,loss_1,path_2_bw,delay_2,loss_2,split_ratio
1.0,50,0.0,2.6,53,0.4,4.0
1.0,50,0.1,1.5,85,0.3,0.0
1.0,50,0.2,1.5,83,0.1,0.0
1.0,50,0.2,1.8,68,0.1,0.4286
1.0,50,0.3,1.1,60,0.3,0.667
1.0,50,0.3,1.5,67,1.0,0.4286
1.0,50,0.3,1.9,57,0.5,0.0
1.0,50,0.6,1.5,63,0.6,0.0
1.0,50,0.6,2.0,76,0.3,4.0
1.0,50,0.7,1.0,74,0.0,2.33
1.0,50,0.8,2.6,79,0.5,0.25
1.0,50,0.9,1.0,53,0.2,2.33
1.0,50,0.9,2.2,82,0.2,2.33
1.0,50,1.0,2.6,61,0.6,1.0
1.0,51,0.0,2.4,52,0.2,0.0
1.0,51,0.1,2.9,75,0.4,0.4286
1.0,51,0.2,2.5,55,0.0,0.0
1.0,51,0.4,1.5,57,0.3,0.0
1.0,51,0.4,1.7,52,0.6,0.667
1.0,51,0.4,2.0,75,0.1,0.0
1.0,51,0.5,2.7,55,0.5,0.0
1.0,51,0.5,3.0,58,0.0,0.4286
1.0,51,0.6,1.4,58,0.6,0.4286
1.0,51,0.7,2.2,84,0.1,1.5
1.0,51,0.8,2.9,63,0.8,0.0
1.0,51,0.9,1.3,67,0.1,0.4286
1.0,51,0.9,1.5,63,0.6,0.11
1.0,51,0.9,1.8,60,0.2,1.0
1.0,51,0.9,2.9,50,0.8,0.25
1.0,51,1.0,1.4,63,1.0,0.667
1.0,51,1.0,2.7,56,1.0,0.667
1.0,52,0.0,2.0,52,0.1,0.0
1.0,52,0.1,2.1,77,0.3,0.0
1.0,52,0.2,1.3,54,0.8,1.0
1.0,52,0.2,1.5,75,0.8,1.0
1.0,52,0.2,2.7,79,1.0,0.11
1.0,52,0.3,1.1,55,1.0,0.4286
1.0,52,0.3,3.0,74,0.0,0.0
1.0,52,0.3,3.0,74,0.5,0.0
1.0,52,0.4,2.7,75,0.9,4.0
1.0,52,0.4,3.0,62,0.7,0.11
1.0,52,0.5,1.4,63,0.0,0.0
1.0,52,0.5,2.4,73,0.7,0.11
1.0,52,0.5,2.5,63,0.0,0.0
1.0,52,0.6,1.7,51,0.9,0.11
1.0,52,0.6,2.7,73,0.7,0.11
1.0,52,0.7,2.1,63,0.2,0.0
1.0,52,0.8,1.3,59,0.3,1.0
1.0,52,0.8,2.2,56,0.0,0.0
1.0,52,0.8,2.9,76,0.4,0.11
1.0,52,0.9,1.3,80,0.2,1.0
1.0,52,0.9,2.1,71,0.7,0.4286
1.0,52,1.0,1.2,66,0.8,0.11
1.0,52,1.0,2.4,71,0.2,2.33
